date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20130819,Emma Cox and Lynn Zhang,65,4.0,16.25,5,42,1,0,0,1,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
20130820,Jill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130821,Emily Abernathy,88,3.83,22.98,4,41,0,0,0,4,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
20130822,Emma Cox and Anna Stunkel,113,4,28.25,4,55,0,0,0,1,0,1,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
20130823,Danny Pirtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130824,Emily Abernathy and Lynn Zhang,76,2.5,30.4,4,31,0,0,0,0,0,2,0,0,0,0,35,0,0,0,4,0,0,0,0,0,0,1,3
20130825,Lynn Zhang,12,1.2,10,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
20130826,Lynn Zhang,65,3,21.67,8,25,2,0,0,4,0,6,0,1,0,0,22,0,0,0,4,0,0,1,0,0,0,0,0
20130827,Emily Abernathy and Anna Stunkel,8,1,8,2,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
20130828,Danny Pirtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130829,Emma Cox and Emily Abernathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130830,Lynn Zhang and Emily Abernathy,116,4,29,7,64,3,0,0,0,0,2,0,1,0,0,42,0,0,0,3,0,1,0,0,0,0,0,0
20130831,Danny Pirtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
