date,author,total_sightings,hours_counted,hph,total_species,tuvu,ospr,wtki,baea,noha,ssha,coha,gosh,rsha,bwha,swha,rtha,feha,rlha,goea,amke,merl,pefa,prfa,unid_accipiter,unid_buteo,unid_eagle,unid_falcon,unid_raptor
20160815,Robert,5,1.25,4,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20160816,Isabel and Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817,Violet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160818,Emily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160819,Violet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160820,Violet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160821,Violet,69,3.75,18.4,5,30,1,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,2,0,1,0,0,0,0
20160822,Chase and Isabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160823,Emily,36,3,12,4,16,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0
20160824,Robert and Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160825,Emily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160826,Chase,10,2.25,4.44,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160827,Isabel and Violet,179,5,35.8,5,102,1,0,0,0,0,1,0,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0
20160828,Violet & Isabel,203,5,40.6,9,68,2,0,0,2,2,14,0,0,0,1,107,0,0,0,3,0,3,0,0,1,0,0,0
20160829,Robert,151,6,25.17,10,52,8,0,1,2,7,15,0,14,0,0,43,0,0,0,3,0,1,0,0,5,0,0,0
20160830,Isabel and Chase,127,5.75,22.09,7,70,0,0,0,2,2,1,0,0,0,0,46,0,0,0,4,0,1,0,1,0,0,0,0
20160831,Robert,187,5.5,34,9,67,1,0,0,6,1,8,0,1,0,0,89,0,0,0,8,0,2,0,2,1,0,0,1
20160901,Emily and Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160902,Emily and Violet,229,5.5,41.64,9,119,4,0,0,0,1,4,0,0,0,0,86,2,0,0,5,0,3,1,0,1,0,0,3
20160903,Violet Kimzey & Isabel Lawrence,77,3.5,22,6,48,3,0,0,0,0,1,0,0,0,0,14,0,0,0,6,0,1,0,1,0,0,0,3
20160904,Isabel,411,6,68.5,11,160,5,0,0,2,4,12,0,3,0,0,194,1,0,0,19,1,2,0,4,1,0,0,3
20160905,Isabel and Chase,240,6,40,6,94,2,0,0,0,1,22,0,0,0,0,113,0,0,0,3,0,0,0,1,0,0,0,4
20160906,Emily and Robert,198,6,33,8,83,2,0,0,0,4,9,0,3,0,0,83,1,0,0,9,0,0,0,0,0,0,0,4
20160907,Chase Violet and Robert,190,5.5,34.55,8,91,1,0,0,0,1,6,0,1,0,0,86,0,0,0,1,0,1,0,1,0,0,1,0
